,Unnamed: 0,user,location,text,tweets
0,0,app_stayaway,Mumbai,"People can also take advantage of your phone addiction before you don't treat it right away.

Download our app now… https://t.co/meWWwieiQ6",people can also take advantage of your phone addiction before you dont treat it right away  download our app now  
1,1,rykorua,Italia,"Christmas is a good time to start practicing gratitude!

Check out how practicing gratitude will change your life.… https://t.co/uxGBQgENPQ",christmas is a good time to start practicing gratitude  check out how practicing gratitude will change your life   
2,2,allevin18,"Minneapolis, MN","""Driving in the Midst of #Depression"" https://t.co/2lK738K9no Mind-wandering can cause higher risks. Be careful! Pl… https://t.co/6DUyzRoboS", driving in the midst of depression   mindwandering can cause higher risk  be careful  pl  
3,3,DulleyTopBooks,"North Vancouver, B.C. Canada","@BCGovNews May the Prince of Peace give us ALL peace of our mind,body&amp;soul from today going forward
#PrayerForLove… https://t.co/THWvVuuHPK",may the prince of peace give u all peace of our mind  body  soul from today going forward prayerforlove  
4,4,sadvibes43ver,,"Anyone else just pretending they’re ok?
#sadtweets #depression #sad",anyone else just pretending they  re ok  sadtweets depression sad
5,5,boofiedamenace,,"At this point, ain’t no need to going to your friend for help. Depression is a trend at this point therefore you’re… https://t.co/jO5dISEL8C",at this point  ain  t no need to going to your friend for help  depression is a trend at this point therefore you  re  
6,6,DulleyTopBooks,"North Vancouver, B.C. Canada",@DentonKollar @GodsGrace57 May the wisdom of #God's Word bring us ALL #Christ #Jesus' heart without delay… https://t.co/zNXbfBBbDE,may the wisdom of gods word bring u all christ jesus  heart without delay  
7,7,DulleyTopBooks,"North Vancouver, B.C. Canada","@RyanRobinsonJ May the wisdom of #God's Word bring us ALL #Christ #Jesus' heart without delay
#PrayerForLove… https://t.co/oxn2qWooHB",may the wisdom of gods word bring u all christ jesus  heart without delay prayerforlove  
8,8,DulleyTopBooks,"North Vancouver, B.C. Canada",@ramblingsloa @Rosario58324309 May the wisdom of #God's Word bring us ALL #Christ #Jesus' heart without delay… https://t.co/f3r82crYCN,may the wisdom of gods word bring u all christ jesus  heart without delay  
9,9,mnkeethewriter,,"To all you adults out there still struggling with abandonment issues caused by your parents' divorce, know that you… https://t.co/4B9fpunW80",to all you adult out there still struggling with abandonment issue caused by your parent  divorce  know that you  
10,10,DulleyTopBooks,"North Vancouver, B.C. Canada","@Oluwase55376969 May the wisdom of #God's Word bring us ALL #Christ #Jesus' heart without delay
#PrayerForLove… https://t.co/OB0qRMaEay",may the wisdom of gods word bring u all christ jesus  heart without delay prayerforlove  
11,11,DulleyTopBooks,"North Vancouver, B.C. Canada",@meghan_e_white @StefanescuBeat1 May the wisdom of #God's Word bring us ALL #Christ #Jesus' heart without delay… https://t.co/Jq6y5UEa0b,may the wisdom of gods word bring u all christ jesus  heart without delay  
12,12,DulleyTopBooks,"North Vancouver, B.C. Canada","@geshepjr May the wisdom of #God's Word bring us ALL #Christ #Jesus' heart without delay
#PrayerForLove… https://t.co/8H34Jo5Hgm",may the wisdom of gods word bring u all christ jesus  heart without delay prayerforlove  
13,13,thesacconnect, 225 30th Street Suite 312,"Give yourself the gift of self love this holiday season! Now more than ever, we must prioritize our wellbeing, as w… https://t.co/cSYhrbEiEe",give yourself the gift of self love this holiday season  now more than ever  we must prioritize our wellbeing  a w  
14,14,edtechdev,"Florida, USA",See their free Healthy Minds app https://t.co/haXis9h5LW &amp; see the related What's Up app https://t.co/gi9XQC5cjB… https://t.co/HDgTtmAjrs,see their free healthy minds app   see the related whats up app  
15,15,RTAHealth,"New York, USA","#New #2019  #Conference -  Just Released,  #author, #PeterBreggin; Psychiatric Drugs are Neurotoxins. Why and How t… https://t.co/La9UVg2T68",new 2019 conference  just released  author  peterbreggin  psychiatric drugs are neurotoxins  why and how t  
16,16,SkypeTherapist,"Boulder CO, USA",Skype therapy for overcoming #anxiety &amp; #depression - Effective Psychotherapy from Home. Email me to schedule a Sky… https://t.co/k7AOBih5kX,skype therapy for overcoming anxiety  depression  effective psychotherapy from home  email me to schedule a sky  
17,17,catsinthebagpur,Montreal,What my #coffee says to me December 23 - drink your life in - it's time for you to sparkle and shine llamazing one… https://t.co/JZpAT82Efn,what my coffee say to me december 23  drink your life in  its time for you to sparkle and shine llamazing one  
18,18,catsinthebagpur,Montreal,"Be llamazing this holiday season!
What my #coffee says to me December 23 - drink your life in ❤ #coffeelovers… https://t.co/xg2YHMcFUx",be llamazing this holiday season  what my coffee say to me december 23  drink your life in  coffeelovers  
19,19,ChannellNicole,United States,There needs to be a better line between patient rights &amp; loved ones rights to protect patients (w/POA) to truly adv… https://t.co/UV8L8M5Ozb,there need to be a better line between patient right  loved one right to protect patient  w  poa  to truly adv  
20,20,MedisaveH,"Ramanagar, Karnataka, India","Get interactive sessions with best doctors.. Reach us at https://t.co/4mZLR8XRQ4
#Mentalhealth https://t.co/BUBoEKeDsF",get interactive session with best doctor  reach u at  mentalhealth 
21,21,F1abraham,Instagram,For the amazing #singleparents #widows who have lost loved ones this #2020 &amp; going into #2021 I hope this helps… https://t.co/h6S1v0vvhx,for the amazing singleparents widows who have lost loved one this 2020  going into 2021 i hope this help  
22,22,Imheret45140132,,@Iamdepr47974144 Have you talked to anyone about how you feel? #mentalhealth #depression,have you talked to anyone about how you feel  mentalhealth depression
23,23,DrMauricePreter,New York City,Worth reposting/rereading! An endogenous opioid deficiency/expanded suffocation false alarm theory model https://t.co/TbOnsyVzy2 #depression,worth reposting  rereading  an endogenous opioid deficiency  expanded suffocation false alarm theory model  depression
24,24,BarbMaiberger,"Boulder, CO",Employers and HR departments should consider the ways they can help ease the stress among their workforce... After… https://t.co/4BkpXdXDFD,employers and hr department should consider the way they can help ease the stress among their workforce  after  
25,25,alliedhealthss,"Queensland, Australia",Researchers explain why maintaining #holidayrituals is important for #Mentalhealth especially during a pandemic - a… https://t.co/Z5F9V5ZSrx,researchers explain why maintaining holidayrituals is important for mentalhealth especially during a pandemic  a  
26,26,DanBohleen,"Billings, MT","""Your ability to manage time is proportional to how adept you are at getting others to do what you want them to do.… https://t.co/dMmO8v2XhR", your ability to manage time is proportional to how adept you are at getting others to do what you want them to do   
27,27,comidoc,"Paris, France","Conquering your Anxiety Issues  
1.5 hours | 595 students  | December 2017 release 

🆓 LINK =&gt;… https://t.co/9f0jVfsKEd",conquering your anxiety issues 15 hour  595 student  december 2017 release  link    
28,28,imperfe25671910,"Sydney, New South Wales","Such an amazing chat with 18summerstribe speaking about the #imperfectlyperfectcampaign , #mentalhealth #mindset,… https://t.co/TNGnjT9II1",such an amazing chat with 18summerstribe speaking about the imperfectlyperfectcampaign  mentalhealth mindset   
29,29,jesuistander,"Pennsylvania, USA","i suffer from depression, anxiety, &amp; ocd. yes, these struggles are tough to deal with, but i never hide them. i spe… https://t.co/FcXXVGP2in",i suffer from depression  anxiety   ocd  yes  these struggle are tough to deal with  but i never hide them  i spe  
30,30,FocusBand,"Brisbane, AUSTRALIA",Compelling story about a client's incorrect diagnosis &amp; how Neurofeedback treatment changed her life. Watch full vi… https://t.co/it0jI3186u,compelling story about a clients incorrect diagnosis  how neurofeedback treatment changed her life  watch full vi  
31,31,Kidlutions,Michigan,Mindfulness matters. A card game that's a game-changer! #anxiety #calm https://t.co/VyIxzUx7Ty https://t.co/BAyhwfJMiM,mindfulness matter  a card game thats a gamechanger  anxiety calm  
32,32,BarbMaiberger,"Boulder, CO",@michaeljcusick @NBCNews #Grateful these resources have been useful ☺️ #ThankYou @michaeljcusick for being a voice… https://t.co/O1AjKMCuIh,grateful these resource have been useful   thankyou for being a voice  
33,33,Mesoy640,Oslo,I remember discussing #mentalhealth and terrorism with a well known security analyst. He was critical but also open… https://t.co/AK4lVoJygK,i remember discussing mentalhealth and terrorism with a well known security analyst  he wa critical but also open  
34,34,ChannellNicole,United States,"I’ll NEVER stop advocating for #mentalhealth 

Prevention is necessary: why I’ve created a wellness center, videos,… https://t.co/WF1jgRCsEn",i  ll never stop advocating for mentalhealth prevention is necessary  why i  ve created a wellness center  video   
35,35,just_ambernv,"Nevada, USA",Does anyone get super annoyed before the holidays and start to shut down? Just me? #anxiety,does anyone get super annoyed before the holiday and start to shut down  just me  anxiety
36,36,DrGurdeepParhar,"British Columbia, Canada",Health Canada warns against company selling unlicensed ... #health #mentalhealth #healthcare #goodhealth #research… https://t.co/8wZIoVm05R,health canada warns against company selling unlicensed  health mentalhealth healthcare goodhealth research  
37,37,andydangc,Click to Subscribe 👉,"Standard quotes on motivation, time management, and procrastination don't apply here. You humans are the real mvp!… https://t.co/ISl01MxVy5",standard quote on motivation  time management  and procrastination dont apply here  you human are the real mvp   
38,38,downtowndyke,,"I was going to go into detail but suffice to say it was a good session and a lot was discussed.  Bottom line, if yo… https://t.co/bv8O8tcZKy",i wa going to go into detail but suffice to say it wa a good session and a lot wa discussed  bottom line  if yo  
39,39,jmack_ent,"New Orleans, LA",Good Therapy should be free for black people! #mentalhealth,good therapy should be free for black people  mentalhealth
40,40,sensitivekids1,,How to help a Child with Selective Mutism https://t.co/u5Eg9gPYwK …  #selectivemutism #SM #anxiety #parentingtips https://t.co/QZYVFVNzeY,how to help a child with selective mutism   selectivemutism sm anxiety parentingtips 
41,41,hybridhindusta1,,"Everyone is asking what is mitochondria, no one is asking how is mitochondria #sad #justice #for #mitochondria… https://t.co/pvnnDeoI1O",everyone is asking what is mitochondrion  no one is asking how is mitochondrion sad justice for mitochondria  
42,42,SkypeTherapist,"Boulder CO, USA",Online #Mindfulness Therapy for overcoming #depression without depending on antidepressants. Email me to schedule a… https://t.co/2AajQOH3jv,online mindfulness therapy for overcoming depression without depending on antidepressant  email me to schedule a  
43,43,DrGurdeepParhar,"British Columbia, Canada",‘I was desperate for a cancer manual – but there isn’t one’ #health #mentalhealth #healthcare #wellness… https://t.co/kW3ERy4yGS, i wa desperate for a cancer manual  but there isn  t one  health mentalhealth healthcare wellness  
44,44,Rey3J,Philadelphia,Not too late for a welcome #Christmas #gift #ebooks offer instant #freedelivery #virus free too. @CNN @NBCNews @ABC… https://t.co/IM4m4pCEDh,not too late for a welcome christmas gift ebooks offer instant freedelivery virus free too   
45,45,ChannellNicole,United States,"Ending 2020 with my business standing, all my employees back to work, excellent credit, assets, time for advocating… https://t.co/HXunLVopu4",ending 2020 with my business standing  all my employee back to work  excellent credit  asset  time for advocating  
46,46,Hope2Healed,"Cypress, Texas","All I want for Christmas is...
#Journal #Hope2Healed #mental #health #therapist #mentalhealth… https://t.co/6UfaSzZC8b",all i want for christmas is  journal hope2healed mental health therapist mentalhealth  
47,47,ImagineCenterMi,Detroit-Northville-St. Heights,"The threat of #Covid19 to ourselves, our loved ones, and our community can lead to worry, fear, sadness, even hopel… https://t.co/rTyDhaEoMn",the threat of covid19 to ourselves  our loved one  and our community can lead to worry  fear  sadness  even hopel  
48,48,RPSVCares_NOVA,Northern Virginia,"Happy Holidays from RPSV! If you are alone for the holidays, join us for a special Zoom celebration at 2 pm EST. RP… https://t.co/awu4dr2LIM",happy holidays from rpsv  if you are alone for the holiday  join u for a special zoom celebration at 2 pm est  rp  
49,49,rundle_r,3rd Rock from the Sun,"There's never a perfect time to begin something. Start now and work towards your #perfection.

#selfcare #selflove… https://t.co/Y7f6oGhCF0",theres never a perfect time to begin something  start now and work towards your perfection  selfcare selflove  
50,50,DarleneMPetrie,,"#ScamPrevention101
Scam Prevention Awareness
12 Days of Scam Prevention
Summary of 12 Days of Holiday Scams… https://t.co/LEaOvscyLv",scamprevention101 scam prevention awareness 12 days of scam prevention summary of 12 days of holiday scams  
51,51,CalmReminder,United States,12 AM EST Reminder: You are ok. You are safe. Don't panic. #anxiety #calm #panic,12 am est reminder  you are ok  you are safe  dont panic  anxiety calm panic
